Timestep,Temperature

0,23.62

1,24.67

2,24.75

3,24.78

4,24.76

5,24.61

6,24.64

7,24.80

8,24.67

9,24.77

10,24.73

11,24.79

12,24.75

13,24.98

14,24.71

15,24.87

16,24.72

17,24.74

18,25.01

19,24.86

20,24.83

21,24.78

22,24.82

23,24.88

24,25.04

25,24.99

26,24.91

27,24.93

28,25.12

29,24.88

30,24.95

31,24.91

32,25.01

33,24.91

34,25.23

35,25.12

36,24.95

37,25.00

38,25.02

39,25.06

40,24.94

41,25.01

42,25.14

43,25.12

44,25.19

45,25.02

46,25.37

47,25.09

48,25.12

49,25.25

50,25.22

51,25.12

52,25.20

53,25.13

54,25.17

55,25.07

56,25.06

57,25.25

58,25.20

59,25.05

60,25.12

61,25.30

62,25.17

63,25.32

64,25.16

65,25.14

66,25.16

67,25.09

68,25.20

69,25.18

70,25.34

71,25.11

72,25.17

73,25.39

74,25.17

75,25.28

76,25.30

77,25.29

78,25.16

79,25.36

80,25.24

81,25.33

82,25.37

83,25.36

84,25.26

85,25.41

86,25.37

87,25.28

88,25.26

89,25.23

90,25.34

91,25.41

92,25.18

93,25.27

94,25.31

95,25.30

96,25.39

97,25.32

98,25.39

99,25.40

100,25.31

101,25.34

102,25.27

103,25.32

104,25.38

105,25.35

106,25.39

107,25.46

108,25.47

109,25.46

110,25.45

111,25.54

112,25.51

113,25.46

114,25.51

115,25.43

116,25.54

117,25.45

118,25.52

119,25.39

120,25.49

121,25.52

122,25.57

123,25.48

124,25.54

125,25.53

126,25.46

127,25.38

128,25.47

129,25.58

130,25.50

131,25.61

132,25.46

133,25.61

134,25.54

135,25.59

136,25.61

137,25.61

138,25.61

139,25.65

140,25.67

141,25.62

142,25.56

143,25.44

144,25.56

145,25.59

146,25.73

147,25.60

148,25.79

149,25.57

150,25.54

151,25.65

152,25.69

153,25.66

154,25.63

155,25.64

156,25.76

157,25.61

158,25.66

159,25.63

160,25.47

161,25.71

162,25.77

163,25.76

164,25.61

165,25.77

166,25.67

167,25.73

168,25.58

169,25.77

170,25.64

171,25.77

172,25.82

173,25.58

174,25.70

175,25.71

176,25.62

177,25.77

178,25.80

179,25.67

180,25.72

181,25.82

182,25.80

183,25.81

184,25.86

185,25.73

186,25.75

187,25.80

188,25.75

189,26.03

190,25.86

191,25.93

192,25.73

193,25.84

194,25.80

195,25.89

196,25.89

197,25.85

198,25.85

199,25.93

200,25.89

201,26.03

202,25.86

203,25.84

204,25.80

205,26.05

206,25.88

207,25.85

208,25.81

209,25.94

210,25.77

211,26.12

212,25.88

213,25.89

214,25.94

215,25.94

216,25.84

217,25.95

218,25.90

219,25.88

220,25.93

221,25.98

222,25.98

223,25.94

224,25.97

225,25.99

226,26.09

227,25.92

228,26.03

229,25.89

230,25.99

231,26.03

232,25.93

233,25.96

234,26.03

235,26.05

236,26.05

237,25.85

238,25.93

239,26.04

240,26.02

241,25.99

242,26.13

243,26.02

244,26.04

245,26.16

246,26.05

247,26.01

248,25.99

249,25.97

250,26.11

251,26.20

252,26.07

253,26.05

254,26.14

255,26.07

256,26.04

257,26.09

258,26.09

259,26.20

260,26.12

261,26.18

262,26.07

263,26.27

264,26.26

265,26.21

266,26.34

267,26.10

268,26.12

269,26.14

270,26.25

271,26.22

272,26.16

273,26.22

274,26.41

275,26.08

276,26.23

277,26.23

278,26.18

279,26.21

280,26.21

281,26.20

282,26.21

283,26.21

284,26.31

285,26.25

286,26.23

287,26.31

288,26.24

289,26.25

290,26.22

291,26.32

292,26.15

293,26.20

294,26.25

295,26.21

296,26.25

297,26.38

298,26.25

299,26.23

300,26.31

301,26.31

302,26.32

303,26.27

304,26.36

305,26.16

306,26.46

307,26.36

308,26.40

309,26.27

310,26.18

311,26.32

312,26.33

313,26.32

314,26.32

315,26.31

316,26.31

317,26.30

318,26.42

319,26.37

320,26.33

321,26.22

322,26.39

323,26.29

324,26.29

325,26.31

326,26.41

327,26.53

328,26.31

329,26.40

330,26.37

331,26.42

332,26.50

333,26.41

334,26.44

335,26.45

336,26.41

337,26.59

338,26.39

339,26.51

340,26.54

341,26.46

342,26.38

343,26.52

344,26.45

345,26.46

346,26.57

347,26.46

348,26.58

349,26.54

350,26.58

351,26.48

352,26.50

353,26.70

354,26.59

355,26.59

356,26.61

357,26.50

358,26.54

359,26.45

360,26.46

361,26.62

362,26.50

363,26.54

364,26.52

365,26.64

366,26.57

367,26.52

368,26.53

369,26.62

370,26.65

371,26.71

372,26.50

373,26.63

374,26.68

375,26.68

376,26.66

377,26.59

378,26.75

379,26.55

380,26.58

381,26.57

382,26.76

383,26.64

384,26.79

385,26.66

386,26.67

387,26.68

388,26.69

389,26.82

390,26.69

391,26.70

392,26.76

393,26.78

394,26.62

395,26.85

396,26.74

397,26.80

398,26.72

399,26.70

400,26.80

401,26.70

402,26.73

403,26.76

404,26.73

405,26.81

406,26.63

407,26.78

408,26.84

409,26.82

410,26.80

411,26.89

412,26.90

413,26.89

414,26.79

415,26.74

416,26.80

417,26.82

418,26.85

419,26.80

420,26.82

421,26.83

422,26.93

423,26.88

424,26.94

425,26.79

426,26.86

427,26.85

428,26.87

429,26.84

430,26.77

431,26.86

432,26.82

433,26.81

434,26.86

435,26.91

436,26.97

437,26.89

438,27.00

439,26.87

440,27.03

